ID,NameKey,DesKey,Effect,BondMember,CardColor
1,bonds.merchant_trading_bond.name,bonds.merchant_trading_bond.description,勾玉和硬币的基础金币价值+20,2,E9DF5A
2,bonds.vampire_curse_bond.name,bonds.vampire_curse_bond.description,如果吸血鬼与领结同时存在于符号池，每回合开始时减少50金币（回合开始时触发）,16;44,E9DF5A
3,bonds.death_blessing_bond.name,bonds.death_blessing_bond.description,接下来五个回合每回合获得 1000 金币，但是五个回合之后游戏强制结束。,24,E9DF5A
4,bonds.wolf_hunter_bond.name,bonds.wolf_hunter_bond.description,如果 狼人与锄头同时存在符号池，每回合都会减少20金币.,67;59,E9DF5A
5,bonds.element_master_bond.name,bonds.element_master_bond.description,如果元素池里拥有全部五种元素，则每回合获得 500 金币,25;26;27;28;29,E9DF5A
6,bonds.justice_bond.name,bonds.justice_bond.description,如果十字架和修女同时在符号池内，挖出猎人的概率翻倍,12;31,E9DF5A
7,bonds.apocalypse_bond.name,bonds.apocalypse_bond.description,如果哥莫拉，丧尸，狼人，吸血鬼同时在符号池内， 下个回合开始时，随机消灭一半的符号，获得 2000 金币,16;67;68;70,E9DF5A
8,bonds.human_extinction_bond.name,bonds.human_extinction_bond.description,如果光线枪，外星头盔，宇宙飞船，精神控制器同时在符号池内， 下个回合开始时，消灭一个人类，获得 300 金币,71;72;73;74,E9DF5A
9,bonds.raccoon_city_bond.name,bonds.raccoon_city_bond.description,每次挖矿前感染一个人类变成丧尸。每有一个丧尸，额外金币增加5,68,E9DF5A
10,bonds.dark_forest_3_bond.name,bonds.dark_forest_3_bond.description,每回合获得一个魔法袋,type:forest,3,E9DF5A
